INV_TYPE,EMP_NO,ARROND,ARROND_NOM,Rue,COTE,No_civique,Emplacement,Coord_X,Coord_Y,SIGLE,Essence_latin,Essence_fr,ESSENCE_ANG,DHP,Date_releve,Date_plantation,LOCALISATION,CODE_PARC,NOM_PARC,Longitude,Latitude
"H",17541,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295362.375,5039659.5,"ACSA","Acer saccharinum","Érable argenté","Silver Maple",39,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.620756,45.496794
"H",17544,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295360.041,5039682,"GLTRIM","Gleditsia triacanthos 'Imperial'","Févier Imperial","Imperial Honey-Locust",5,"2022-12-05T00:00:00","2018-11-05T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620786,45.496997
"H",17545,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295366.041,5039690.5,"TIERWR","Tilia x europaea 'Wratislaviensis'","Tilleul de Varsovie","Warsaw Linden",5,"2022-12-05T00:00:00","2018-11-05T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620709,45.497073
"H",17548,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295388.908,5039713,"ZESEGV","Zelkova serrata 'Green Vase'","Zelkova du Japon Green Vase","Green Vase Japanese Zelkova",4,"2022-12-05T00:00:00","2018-11-05T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620417,45.497276
"H",17549,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295400.50800000003,5039718.5,"GLTRIM","Gleditsia triacanthos 'Imperial'","Févier Imperial","Imperial Honey-Locust",2,"2022-12-05T00:00:00","2018-11-05T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620269,45.497326
"H",17550,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295418.414,5039700.5,"GLTR","Gleditsia triacanthos","Févier d'Amérique","Common Honey-Locust",42,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.620039,45.497164
"H",17551,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295413.463,5039701.5,"GLTR","Gleditsia triacanthos","Févier d'Amérique","Common Honey-Locust",37,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.620103,45.497173
"H",17552,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295404.012,5039695.5,"GLTR","Gleditsia triacanthos","Févier d'Amérique","Common Honey-Locust",6,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.620224,45.497119
"H",17553,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295394.528,5039690,"GLTR","Gleditsia triacanthos","Févier d'Amérique","Common Honey-Locust",34,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.620345,45.497069
"H",17554,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295390.63399999996,5039695,"GLTR","Gleditsia triacanthos","Févier d'Amérique","Common Honey-Locust",39,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.620395,45.497114
"H",17555,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295386.531,5039699,"GLTR","Gleditsia triacanthos","Févier d'Amérique","Common Honey-Locust",38,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.620447,45.49715
"H",17556,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295404.82899999997,5039713.5,"ACSA","Acer saccharinum","Érable argenté","Silver Maple",51,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.620214,45.497281
"H",17557,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295411.064,5039704,"GLTR","Gleditsia triacanthos","Févier d'Amérique","Common Honey-Locust",16,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.620134,45.497195
"H",17558,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295447.128,5039714,"SYREIS","Syringa reticulata 'Ivory Silk'","Lilas japonais Ivory Silk","Ivory Silk Japanese Tree Lilac",16,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619672,45.497286
"H",17559,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295450.039,5039705.5,"SYREIS","Syringa reticulata 'Ivory Silk'","Lilas japonais Ivory Silk","Ivory Silk Japanese Tree Lilac",9,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619635,45.497209
