INV_TYPE,EMP_NO,ARROND,ARROND_NOM,Rue,COTE,No_civique,Emplacement,Coord_X,Coord_Y,SIGLE,Essence_latin,Essence_fr,ESSENCE_ANG,DHP,Date_releve,Date_plantation,LOCALISATION,CODE_PARC,NOM_PARC,Longitude,Latitude
"H",8444,5,"Le Plateau-Mont-Royal",,,,"PArc",297599.587,5042597.5,"ACPL","Acer platanoides","Érable de Norvège","Norway Maple",59,"2019-05-28T00:00:00",,,"0067-000","LAHAIE",-73.592173,45.523258
"H",8445,5,"Le Plateau-Mont-Royal",,,,"PArc",297595.494,5042607,"QURU","Quercus rubra","Chêne rouge","Red Oak",25,"2019-05-28T00:00:00",,,"0067-000","LAHAIE",-73.592226,45.523344
"H",8446,5,"Le Plateau-Mont-Royal",,,,"PArc",297593.096,5042613.5,"QURU","Quercus rubra","Chêne rouge","Red Oak",29,"2019-05-28T00:00:00",,,"0067-000","LAHAIE",-73.592257,45.523402
"H",8447,5,"Le Plateau-Mont-Royal",,,,"PArc",297607.131,5042604.5,"AMLA","Amelanchier laevis","Amelanchier laevis","Amelanchier laevis",5,"2020-09-18T00:00:00","2020-09-18T00:00:00",,"0067-000","LAHAIE",-73.592077,45.523321
"H",8448,5,"Le Plateau-Mont-Royal",,,,"PArc",297611.517,5042598,"ACSC","Acer saccharum","Érable à sucre","Sugar Maple",24,"2019-05-28T00:00:00",,,"0067-000","LAHAIE",-73.592021,45.523263
"H",8449,5,"Le Plateau-Mont-Royal",,,,"PArc",297608.19,5042593,"SYRE","Syringa reticulata","Lilas japonais","Japanese Tree Lilac",12,"2019-05-28T00:00:00",,,"0067-000","LAHAIE",-73.592063,45.523218
"H",8450,5,"Le Plateau-Mont-Royal",,,,"PArc",297602.453,5042602,"ACPL","Acer platanoides","Érable de Norvège","Norway Maple",52,"2019-05-28T00:00:00",,,"0067-000","LAHAIE",-73.592137,45.523299
"H",8451,5,"Le Plateau-Mont-Royal",,,,"PArc",297588.184,5042580.5,"JUCI","Juglans cinerea","Noyer cendré","Butternut",38,"2019-05-28T00:00:00",,,"0067-000","LAHAIE",-73.592319,45.523105
"H",8452,5,"Le Plateau-Mont-Royal",,,,"PArc",297578.722,5042589,"SYREIS","Syringa reticulata 'Ivory Silk'","Lilas japonais Ivory Silk","Ivory Silk Japanese Tree Lilac",5,"2020-09-12T00:00:00","2020-09-12T00:00:00",,"0067-000","LAHAIE",-73.59244,45.523182
"H",8453,5,"Le Plateau-Mont-Royal",,,,"PArc",297584.968,5042588.5,"JUCI","Juglans cinerea","Noyer cendré","Butternut",41,"2019-05-28T00:00:00",,,"0067-000","LAHAIE",-73.59236,45.523177
"H",8454,5,"Le Plateau-Mont-Royal",,,,"PArc",297589.587,5042591,"QURU","Quercus rubra","Chêne rouge","Red Oak",31,"2019-05-28T00:00:00",,,"0067-000","LAHAIE",-73.592301,45.5232
"H",8455,5,"Le Plateau-Mont-Royal",,,,"PArc",297584.32399999996,5042598.5,"SOAR","Sorbus aria","Alisier blanc","White Bear",16,"2019-05-28T00:00:00",,,"0067-000","LAHAIE",-73.592369,45.523267
"H",8456,5,"Le Plateau-Mont-Royal",,,,"PArc",297588.359,5042605.5,"GYDI","Gymnocladus dioicus","Chicot du Canada","Kentucky Coffee Tree",16,"2019-05-28T00:00:00",,,"0067-000","LAHAIE",-73.592317,45.52333
"H",8457,5,"Le Plateau-Mont-Royal",,,,"PArc",297594.266,5042595,"ACPL","Acer platanoides","Érable de Norvège","Norway Maple",53,"2019-05-28T00:00:00",,,"0067-000","LAHAIE",-73.592242,45.523236
"H",8458,5,"Le Plateau-Mont-Royal",,,,"PArc",297566.664,5042579,"ACSA","Acer saccharinum","Érable argenté","Silver Maple",44,"2022-09-12T00:00:00",,,"0067-000","LAHAIE",-73.592595,45.523091
"H",8459,5,"Le Plateau-Mont-Royal",,,,"PArc",297571.225,5042587.5,"AMLA","Amelanchier laevis","Amelanchier laevis","Amelanchier laevis",5,"2020-09-12T00:00:00","2020-09-12T00:00:00",,"0067-000","LAHAIE",-73.592536,45.523168
"H",8460,5,"Le Plateau-Mont-Royal",,,,"PArc",297574.968,5042593.5,"ACPL","Acer platanoides","Érable de Norvège","Norway Maple",56,"2019-05-28T00:00:00",,,"0067-000","LAHAIE",-73.592489,45.523222
"H",8461,5,"Le Plateau-Mont-Royal",,,,"PArc",297581.88300000003,5042605,"QURU","Quercus rubra","Chêne rouge","Red Oak",12,"2019-05-28T00:00:00",,,"0067-000","LAHAIE",-73.5924,45.523326
"H",8462,5,"Le Plateau-Mont-Royal",,,,"PArc",297586.956,5042613.5,"ACPL","Acer platanoides","Érable de Norvège","Norway Maple",49,"2019-05-28T00:00:00",,,"0067-000","LAHAIE",-73.592335,45.523402
"H",30511,5,"Le Plateau-Mont-Royal",,,,"PArc",297596.316,5042584.756,"CEOC","Celtis occidentalis","Micocoulier occidental","Common Hackberry",14,"2019-05-28T00:00:00","2010-10-10T00:00:00",,"0067-000","LAHAIE",-73.592215,45.523144
"H",30512,5,"Le Plateau-Mont-Royal",,,,"PArc",297573.25899999996,5042580.063,"ULXXMO","Ulmus x 'Morton' (Accolade TM)","Orme Morton (Accolade TM)","Morton (Accolade TM) Elm",17,"2019-05-28T00:00:00","2010-10-10T00:00:00",,"0067-000","LAHAIE",-73.59251,45.523101
"H",126617,5,"Le Plateau-Mont-Royal",,,,"PArc",297601.228,5042608.862,"AMLA","Amelanchier laevis","Amelanchier laevis","Amelanchier laevis",5,"2020-09-12T00:00:00","2020-09-12T00:00:00",,"0067-000","LAHAIE",-73.592153,45.523361
